time 00h 01m 01s, episodes 253, frames 62231, run epr 1.23, run loss 0.61
time 00h 02m 03s, episodes 510, frames 131183, run epr 1.88, run loss 1.27
time 00h 03m 09s, episodes 803, frames 204760, run epr 1.58, run loss 0.57
time 00h 04m 12s, episodes 1078, frames 276329, run epr 1.56, run loss -0.23
time 00h 05m 14s, episodes 1331, frames 345362, run epr 1.95, run loss 0.42
time 00h 06m 16s, episodes 1607, frames 414638, run epr 1.27, run loss -1.59
time 00h 07m 18s, episodes 1895, frames 484619, run epr 1.20, run loss 0.74
time 00h 08m 27s, episodes 2183, frames 562673, run epr 1.80, run loss 2.21
time 00h 09m 28s, episodes 2434, frames 630280, run epr 1.69, run loss -1.14
time 00h 10m 31s, episodes 2694, frames 701060, run epr 2.03, run loss 1.65
time 00h 11m 32s, episodes 2953, frames 769756, run epr 1.70, run loss 0.04
time 00h 12m 32s, episodes 3195, frames 837513, run epr 1.98, run loss -1.08
time 00h 13m 34s, episodes 3448, frames 906322, run epr 2.15, run loss -1.72
time 00h 14m 34s, episodes 3692, frames 974144, run epr 1.91, run loss -1.84
time 00h 15m 38s, episodes 3940, frames 1045808, run epr 2.08, run loss -2.51
time 00h 16m 38s, episodes 4183, frames 1113175, run epr 2.04, run loss -1.77
time 00h 17m 44s, episodes 4439, frames 1186006, run epr 2.18, run loss -1.76
time 00h 18m 48s, episodes 4680, frames 1257829, run epr 2.40, run loss -1.61
time 00h 19m 51s, episodes 4928, frames 1328918, run epr 2.46, run loss -1.67
time 00h 20m 56s, episodes 5169, frames 1402594, run epr 2.94, run loss -0.07
time 00h 22m 01s, episodes 5451, frames 1476183, run epr 1.48, run loss -1.00
time 00h 23m 03s, episodes 5742, frames 1546221, run epr 1.76, run loss 0.04
time 00h 24m 04s, episodes 5977, frames 1615084, run epr 3.07, run loss -0.38
time 00h 25m 07s, episodes 6184, frames 1685768, run epr 3.06, run loss -2.56
time 00h 26m 07s, episodes 6381, frames 1753883, run epr 3.77, run loss -0.54
time 00h 27m 07s, episodes 6557, frames 1821615, run epr 4.23, run loss -1.40
time 00h 28m 14s, episodes 6755, frames 1897210, run epr 4.24, run loss -1.13
time 00h 29m 17s, episodes 6939, frames 1968378, run epr 4.71, run loss -0.65

	step 2000000: saved model

time 00h 30m 19s, episodes 7101, frames 2037491, run epr 4.99, run loss -1.06
time 00h 31m 21s, episodes 7275, frames 2107712, run epr 4.70, run loss -2.73
time 00h 32m 22s, episodes 7437, frames 2175780, run epr 5.26, run loss -1.82
time 00h 33m 31s, episodes 7612, frames 2253324, run epr 5.67, run loss -2.08
time 00h 34m 35s, episodes 7770, frames 2326407, run epr 6.27, run loss -0.39
time 00h 35m 37s, episodes 7917, frames 2395336, run epr 6.36, run loss -1.84
time 00h 36m 44s, episodes 8076, frames 2472335, run epr 6.66, run loss -3.73
time 00h 37m 48s, episodes 8218, frames 2542918, run epr 6.82, run loss -4.64
time 00h 38m 53s, episodes 8366, frames 2617088, run epr 7.20, run loss -2.88
time 00h 39m 58s, episodes 8502, frames 2689221, run epr 8.13, run loss -2.84
time 00h 41m 02s, episodes 8634, frames 2761910, run epr 8.39, run loss -3.64
time 00h 42m 13s, episodes 8766, frames 2841760, run epr 8.93, run loss -3.79
time 00h 43m 16s, episodes 8888, frames 2912481, run epr 8.59, run loss -4.63
time 00h 44m 20s, episodes 9010, frames 2984965, run epr 8.98, run loss -4.74
time 00h 45m 26s, episodes 9140, frames 3059137, run epr 8.80, run loss -4.77
time 00h 46m 28s, episodes 9251, frames 3128785, run epr 9.62, run loss -3.98
time 00h 47m 39s, episodes 9378, frames 3208781, run epr 9.78, run loss -3.95
time 00h 48m 48s, episodes 9494, frames 3286707, run epr 11.33, run loss -3.94
time 00h 49m 56s, episodes 9606, frames 3363060, run epr 11.74, run loss -4.56
time 00h 50m 57s, episodes 9702, frames 3431812, run epr 12.31, run loss -4.62
time 00h 52m 03s, episodes 9801, frames 3506828, run epr 13.54, run loss -4.57
time 00h 53m 13s, episodes 9912, frames 3584973, run epr 12.81, run loss -5.03
time 00h 54m 28s, episodes 10022, frames 3669575, run epr 13.53, run loss -4.98
time 00h 55m 32s, episodes 10122, frames 3742510, run epr 13.78, run loss -6.16
time 00h 56m 36s, episodes 10213, frames 3814812, run epr 13.94, run loss -6.83
time 00h 57m 42s, episodes 10309, frames 3889687, run epr 14.75, run loss -5.42
time 00h 58m 56s, episodes 10408, frames 3974174, run epr 16.89, run loss -6.10

	step 4000000: saved model

time 01h 00m 00s, episodes 10497, frames 4046048, run epr 16.21, run loss -7.05
time 01h 01m 12s, episodes 10590, frames 4126669, run epr 17.06, run loss -6.72
time 01h 02m 20s, episodes 10677, frames 4203240, run epr 18.10, run loss -7.33
time 01h 03m 26s, episodes 10759, frames 4277493, run epr 18.45, run loss -8.07
time 01h 04m 32s, episodes 10839, frames 4350826, run epr 19.36, run loss -7.63
time 01h 05m 36s, episodes 10912, frames 4423722, run epr 21.40, run loss -7.32
