time 00h 01m 02s, episodes 60, frames 50887, run epr 257.06, run loss 147.08
time 00h 02m 12s, episodes 131, frames 109154, run epr 426.06, run loss 345.17
time 00h 03m 24s, episodes 205, frames 170736, run epr 465.36, run loss 376.22
time 00h 04m 40s, episodes 275, frames 233413, run epr 450.76, run loss 406.96
time 00h 05m 52s, episodes 351, frames 294141, run epr 443.47, run loss 387.97
time 00h 06m 52s, episodes 421, frames 344847, run epr 426.08, run loss 399.39
time 00h 08m 09s, episodes 503, frames 407671, run epr 475.94, run loss 423.80
time 00h 09m 29s, episodes 589, frames 474655, run epr 397.56, run loss 377.14
time 00h 10m 31s, episodes 653, frames 524282, run epr 458.34, run loss 388.80
time 00h 11m 34s, episodes 718, frames 575694, run epr 474.84, run loss 404.86
time 00h 12m 58s, episodes 808, frames 642205, run epr 472.86, run loss 419.50
time 00h 14m 14s, episodes 884, frames 702078, run epr 504.15, run loss 419.05
time 00h 15m 16s, episodes 946, frames 750243, run epr 552.53, run loss 454.19
time 00h 16m 34s, episodes 1021, frames 809113, run epr 524.37, run loss 430.72
time 00h 17m 38s, episodes 1080, frames 855310, run epr 475.82, run loss 409.63
time 00h 18m 52s, episodes 1139, frames 905973, run epr 457.66, run loss 369.22
time 00h 19m 54s, episodes 1193, frames 948228, run epr 449.32, run loss 384.77
time 00h 21m 15s, episodes 1255, frames 1002488, run epr 518.97, run loss 415.99
time 00h 22m 38s, episodes 1318, frames 1056498, run epr 533.42, run loss 450.53
time 00h 24m 08s, episodes 1383, frames 1113539, run epr 515.02, run loss 394.14
time 00h 25m 18s, episodes 1437, frames 1159802, run epr 519.48, run loss 425.20
time 00h 26m 34s, episodes 1496, frames 1210219, run epr 517.64, run loss 450.93
time 00h 27m 57s, episodes 1561, frames 1264176, run epr 556.71, run loss 419.19
time 00h 29m 02s, episodes 1607, frames 1306191, run epr 534.25, run loss 410.56
time 00h 30m 22s, episodes 1668, frames 1357556, run epr 565.89, run loss 425.82
time 00h 31m 29s, episodes 1718, frames 1401912, run epr 525.11, run loss 439.07
time 00h 33m 05s, episodes 1787, frames 1464294, run epr 568.20, run loss 471.55
time 00h 34m 17s, episodes 1844, frames 1511570, run epr 564.36, run loss 442.44
time 00h 35m 35s, episodes 1903, frames 1562558, run epr 528.23, run loss 455.79
time 00h 36m 43s, episodes 1954, frames 1606639, run epr 591.28, run loss 485.28
time 00h 38m 04s, episodes 2010, frames 1657038, run epr 689.40, run loss 470.88
time 00h 39m 16s, episodes 2067, frames 1704351, run epr 597.45, run loss 422.91
time 00h 40m 19s, episodes 2117, frames 1744386, run epr 535.69, run loss 402.91
time 00h 41m 19s, episodes 2163, frames 1784096, run epr 546.81, run loss 421.87
time 00h 42m 42s, episodes 2224, frames 1836543, run epr 580.09, run loss 430.16
time 00h 44m 01s, episodes 2280, frames 1887389, run epr 516.29, run loss 406.79
time 00h 45m 28s, episodes 2348, frames 1944449, run epr 588.07, run loss 456.97
time 00h 46m 44s, episodes 2405, frames 1993909, run epr 536.50, run loss 440.20

	step 2000000: saved model

time 00h 48m 02s, episodes 2464, frames 2044770, run epr 559.15, run loss 471.62
time 00h 49m 04s, episodes 2515, frames 2085736, run epr 577.06, run loss 453.72
time 00h 50m 07s, episodes 2560, frames 2126081, run epr 580.96, run loss 467.43
time 00h 51m 36s, episodes 2626, frames 2184087, run epr 551.04, run loss 438.72
time 00h 52m 55s, episodes 2687, frames 2236060, run epr 534.53, run loss 382.29
time 00h 54m 06s, episodes 2741, frames 2282160, run epr 511.87, run loss 394.56
time 00h 55m 14s, episodes 2786, frames 2326028, run epr 590.02, run loss 433.85
time 00h 56m 27s, episodes 2843, frames 2373090, run epr 532.26, run loss 413.17
time 00h 57m 55s, episodes 2903, frames 2428718, run epr 557.79, run loss 425.18
time 00h 59m 22s, episodes 2970, frames 2483617, run epr 609.91, run loss 433.23
time 01h 00m 33s, episodes 3021, frames 2528234, run epr 560.77, run loss 439.29
time 01h 02m 06s, episodes 3091, frames 2587346, run epr 517.04, run loss 450.07
time 01h 03m 30s, episodes 3152, frames 2640722, run epr 612.16, run loss 484.40
time 01h 04m 43s, episodes 3204, frames 2686716, run epr 602.61, run loss 456.83
time 01h 05m 57s, episodes 3261, frames 2733475, run epr 552.14, run loss 420.20
time 01h 07m 23s, episodes 3323, frames 2786515, run epr 539.17, run loss 436.00
time 01h 08m 48s, episodes 3385, frames 2839042, run epr 594.05, run loss 452.56
time 01h 09m 48s, episodes 3427, frames 2875949, run epr 578.32, run loss 434.70
time 01h 11m 12s, episodes 3487, frames 2929276, run epr 581.01, run loss 413.79
time 01h 12m 38s, episodes 3548, frames 2982846, run epr 532.94, run loss 411.69
time 01h 13m 58s, episodes 3606, frames 3032446, run epr 557.79, run loss 440.44
time 01h 15m 27s, episodes 3671, frames 3087264, run epr 603.36, run loss 423.60
time 01h 16m 43s, episodes 3727, frames 3134367, run epr 581.93, run loss 436.54
time 01h 18m 02s, episodes 3780, frames 3183480, run epr 581.69, run loss 468.40
time 01h 19m 25s, episodes 3841, frames 3234608, run epr 599.53, run loss 502.68
time 01h 20m 28s, episodes 3886, frames 3273084, run epr 587.03, run loss 462.53
time 01h 21m 29s, episodes 3927, frames 3312152, run epr 591.40, run loss 466.73
time 01h 22m 42s, episodes 3983, frames 3357950, run epr 561.70, run loss 459.80
time 01h 23m 44s, episodes 4025, frames 3396480, run epr 634.14, run loss 480.44
time 01h 24m 45s, episodes 4067, frames 3433562, run epr 594.37, run loss 441.77
time 01h 26m 07s, episodes 4126, frames 3483792, run epr 574.23, run loss 454.73
time 01h 27m 26s, episodes 4181, frames 3532561, run epr 566.19, run loss 440.01
time 01h 28m 47s, episodes 4239, frames 3582922, run epr 546.21, run loss 436.72
time 01h 30m 08s, episodes 4296, frames 3633763, run epr 604.67, run loss 440.44
time 01h 31m 22s, episodes 4349, frames 3680388, run epr 596.64, run loss 438.93
time 01h 32m 33s, episodes 4404, frames 3723648, run epr 517.04, run loss 421.41
time 01h 33m 36s, episodes 4446, frames 3763535, run epr 570.56, run loss 435.28
time 01h 34m 41s, episodes 4493, frames 3803147, run epr 549.71, run loss 438.11
time 01h 35m 51s, episodes 4544, frames 3846144, run epr 524.15, run loss 419.01
time 01h 37m 20s, episodes 4608, frames 3899976, run epr 527.04, run loss 388.87
time 01h 38m 47s, episodes 4669, frames 3954245, run epr 563.18, run loss 419.68

	step 4000000: saved model

time 01h 40m 11s, episodes 4732, frames 4006429, run epr 602.49, run loss 446.09
time 01h 41m 41s, episodes 4794, frames 4061237, run epr 579.68, run loss 459.63
