
time 00h 01m 03s, episodes 32, frames 0.0M, run epr -20.85, run loss -34.15
time 00h 02m 21s, episodes 78, frames 0.1M, run epr -20.67, run loss -16.29
time 00h 03m 37s, episodes 127, frames 0.2M, run epr -20.52, run loss -8.19
time 00h 05m 00s, episodes 177, frames 0.2M, run epr -20.46, run loss -1.05
time 00h 06m 10s, episodes 218, frames 0.3M, run epr -20.44, run loss 0.57
time 00h 07m 15s, episodes 255, frames 0.3M, run epr -20.37, run loss 4.85
time 00h 08m 34s, episodes 307, frames 0.4M, run epr -20.32, run loss 1.12
time 00h 09m 57s, episodes 356, frames 0.4M, run epr -20.24, run loss -0.11
time 00h 11m 03s, episodes 391, frames 0.5M, run epr -20.19, run loss -1.61
time 00h 12m 10s, episodes 428, frames 0.5M, run epr -20.03, run loss -2.54
time 00h 13m 13s, episodes 462, frames 0.6M, run epr -19.95, run loss -4.91
time 00h 14m 54s, episodes 514, frames 0.7M, run epr -19.74, run loss -1.53
time 00h 16m 37s, episodes 557, frames 0.7M, run epr -19.15, run loss -0.80
time 00h 18m 54s, episodes 605, frames 0.9M, run epr -18.25, run loss -0.45
time 00h 21m 12s, episodes 649, frames 1.0M, run epr -17.01, run loss -3.16
time 00h 22m 16s, episodes 669, frames 1.0M, run epr -16.59, run loss -3.57
time 00h 24m 08s, episodes 706, frames 1.1M, run epr -15.92, run loss -5.82
time 00h 25m 12s, episodes 726, frames 1.1M, run epr -15.65, run loss -6.45
time 00h 26m 15s, episodes 744, frames 1.2M, run epr -15.34, run loss -6.88
time 00h 27m 28s, episodes 766, frames 1.2M, run epr -14.96, run loss -8.34
time 00h 28m 31s, episodes 785, frames 1.3M, run epr -14.81, run loss -9.36
time 00h 29m 37s, episodes 803, frames 1.3M, run epr -14.48, run loss -8.60
time 00h 30m 56s, episodes 825, frames 1.4M, run epr -14.09, run loss -9.45
time 00h 32m 06s, episodes 843, frames 1.4M, run epr -13.87, run loss -10.54
time 00h 33m 15s, episodes 864, frames 1.5M, run epr -13.52, run loss -9.74
time 00h 34m 51s, episodes 889, frames 1.6M, run epr -13.17, run loss -10.35
time 00h 36m 42s, episodes 918, frames 1.7M, run epr -12.77, run loss -12.11
time 00h 37m 58s, episodes 937, frames 1.7M, run epr -12.54, run loss -11.75
time 00h 39m 24s, episodes 959, frames 1.8M, run epr -12.20, run loss -11.52
time 00h 40m 43s, episodes 979, frames 1.9M, run epr -12.09, run loss -15.52
time 00h 41m 50s, episodes 994, frames 1.9M, run epr -11.87, run loss -13.56
time 00h 43m 15s, episodes 1012, frames 2.0M, run epr -11.62, run loss -15.51

	2M frames: saved model

time 00h 44m 55s, episodes 1038, frames 2.1M, run epr -11.16, run loss -15.84
time 00h 46m 36s, episodes 1061, frames 2.1M, run epr -10.44, run loss -17.40
time 00h 48m 03s, episodes 1081, frames 2.2M, run epr -10.36, run loss -21.80
time 00h 49m 26s, episodes 1100, frames 2.3M, run epr -10.15, run loss -20.06
time 00h 50m 54s, episodes 1116, frames 2.3M, run epr -10.07, run loss -23.34
time 00h 52m 45s, episodes 1141, frames 2.4M, run epr -9.65, run loss -20.86
time 00h 53m 50s, episodes 1156, frames 2.5M, run epr -9.43, run loss -24.58
time 00h 55m 47s, episodes 1180, frames 2.6M, run epr -9.28, run loss -23.97
time 00h 57m 15s, episodes 1200, frames 2.7M, run epr -9.05, run loss -25.48
time 00h 59m 08s, episodes 1221, frames 2.7M, run epr -8.79, run loss -22.68
time 01h 00m 27s, episodes 1236, frames 2.8M, run epr -8.61, run loss -23.69
time 01h 01m 52s, episodes 1252, frames 2.9M, run epr -8.55, run loss -24.49
time 01h 03m 56s, episodes 1277, frames 3.0M, run epr -8.39, run loss -24.27
time 01h 05m 53s, episodes 1300, frames 3.1M, run epr -8.00, run loss -26.15
time 01h 07m 45s, episodes 1318, frames 3.2M, run epr -7.54, run loss -27.68
time 01h 09m 21s, episodes 1335, frames 3.2M, run epr -7.05, run loss -27.36
time 01h 11m 08s, episodes 1356, frames 3.3M, run epr -7.10, run loss -30.11
time 01h 12m 38s, episodes 1372, frames 3.4M, run epr -7.15, run loss -31.02
time 01h 14m 03s, episodes 1387, frames 3.5M, run epr -6.88, run loss -31.09
time 01h 16m 15s, episodes 1407, frames 3.6M, run epr -5.96, run loss -28.76
time 01h 18m 12s, episodes 1426, frames 3.6M, run epr -5.73, run loss -30.76
time 01h 20m 28s, episodes 1449, frames 3.8M, run epr -5.45, run loss -32.70
time 01h 22m 49s, episodes 1473, frames 3.9M, run epr -5.10, run loss -35.61
time 01h 25m 12s, episodes 1499, frames 4.0M, run epr -4.90, run loss -36.12

	4M frames: saved model

time 01h 27m 08s, episodes 1517, frames 4.1M, run epr -4.47, run loss -31.04
time 01h 28m 52s, episodes 1536, frames 4.2M, run epr -3.51, run loss -32.16
time 01h 30m 01s, episodes 1550, frames 4.2M, run epr -3.00, run loss -30.71
time 01h 31m 43s, episodes 1568, frames 4.3M, run epr -1.92, run loss -28.86
time 01h 33m 35s, episodes 1589, frames 4.4M, run epr -1.61, run loss -32.26
time 01h 35m 13s, episodes 1604, frames 4.5M, run epr -1.50, run loss -31.60
time 01h 37m 11s, episodes 1624, frames 4.6M, run epr -1.06, run loss -31.42
time 01h 39m 22s, episodes 1647, frames 4.7M, run epr -0.54, run loss -31.71
time 01h 41m 18s, episodes 1669, frames 4.7M, run epr -0.09, run loss -32.19
time 01h 43m 09s, episodes 1687, frames 4.8M, run epr 0.27, run loss -32.40
time 01h 44m 57s, episodes 1707, frames 4.9M, run epr 0.48, run loss -31.30
time 01h 47m 22s, episodes 1732, frames 5.0M, run epr 1.04, run loss -31.83
time 01h 49m 20s, episodes 1754, frames 5.1M, run epr 1.85, run loss -29.57
time 01h 51m 09s, episodes 1773, frames 5.2M, run epr 2.41, run loss -28.45
time 01h 53m 02s, episodes 1796, frames 5.3M, run epr 3.32, run loss -27.10
time 01h 54m 05s, episodes 1806, frames 5.4M, run epr 3.75, run loss -25.74
time 01h 55m 29s, episodes 1824, frames 5.4M, run epr 4.04, run loss -29.23
time 01h 57m 16s, episodes 1846, frames 5.5M, run epr 4.53, run loss -31.69
time 01h 59m 12s, episodes 1868, frames 5.6M, run epr 5.56, run loss -29.44
time 02h 00m 44s, episodes 1885, frames 5.7M, run epr 5.76, run loss -28.36
time 02h 02m 47s, episodes 1909, frames 5.8M, run epr 6.18, run loss -29.09
time 02h 04m 16s, episodes 1926, frames 5.9M, run epr 6.66, run loss -31.17
time 02h 06m 03s, episodes 1945, frames 5.9M, run epr 6.34, run loss -34.20

	6M frames: saved model

time 02h 07m 40s, episodes 1965, frames 6.0M, run epr 6.61, run loss -30.32
time 02h 09m 38s, episodes 1987, frames 6.1M, run epr 7.13, run loss -27.89
time 02h 11m 39s, episodes 2012, frames 6.2M, run epr 7.65, run loss -30.22
time 02h 12m 59s, episodes 2028, frames 6.3M, run epr 8.05, run loss -28.10
time 02h 14m 51s, episodes 2052, frames 6.4M, run epr 8.05, run loss -31.78
time 02h 16m 17s, episodes 2069, frames 6.4M, run epr 8.52, run loss -27.42
time 02h 17m 55s, episodes 2090, frames 6.5M, run epr 8.64, run loss -27.04
time 02h 19m 36s, episodes 2111, frames 6.6M, run epr 9.06, run loss -25.39
time 02h 20m 49s, episodes 2122, frames 6.6M, run epr 9.25, run loss -26.66
time 02h 22m 09s, episodes 2141, frames 6.7M, run epr 9.28, run loss -28.51
time 02h 23m 49s, episodes 2161, frames 6.8M, run epr 9.03, run loss -28.96
time 02h 25m 16s, episodes 2181, frames 6.9M, run epr 9.71, run loss -27.36
time 02h 26m 46s, episodes 2200, frames 6.9M, run epr 9.75, run loss -27.58
time 02h 28m 16s, episodes 2220, frames 7.0M, run epr 9.90, run loss -28.16
time 02h 30m 01s, episodes 2239, frames 7.1M, run epr 10.26, run loss -26.41
time 02h 31m 23s, episodes 2259, frames 7.2M, run epr 10.25, run loss -25.63
time 02h 32m 59s, episodes 2278, frames 7.2M, run epr 10.31, run loss -28.22
time 02h 34m 18s, episodes 2294, frames 7.3M, run epr 10.69, run loss -24.17
time 02h 35m 28s, episodes 2311, frames 7.3M, run epr 10.87, run loss -23.05
time 02h 37m 04s, episodes 2331, frames 7.4M, run epr 10.99, run loss -24.53
time 02h 38m 11s, episodes 2349, frames 7.5M, run epr 11.06, run loss -26.54
time 02h 39m 31s, episodes 2371, frames 7.5M, run epr 11.58, run loss -24.92
time 02h 40m 45s, episodes 2389, frames 7.6M, run epr 11.74, run loss -24.93
time 02h 42m 20s, episodes 2408, frames 7.7M, run epr 11.62, run loss -25.87
time 02h 43m 41s, episodes 2428, frames 7.7M, run epr 11.72, run loss -25.41
time 02h 44m 56s, episodes 2444, frames 7.8M, run epr 11.92, run loss -23.39
time 02h 46m 30s, episodes 2467, frames 7.9M, run epr 12.01, run loss -25.11
time 02h 48m 11s, episodes 2490, frames 8.0M, run epr 12.28, run loss -23.17

	8M frames: saved model

time 02h 49m 54s, episodes 2512, frames 8.0M, run epr 12.09, run loss -25.72
time 02h 51m 37s, episodes 2537, frames 8.1M, run epr 12.09, run loss -26.22
time 02h 53m 01s, episodes 2556, frames 8.2M, run epr 12.02, run loss -27.07
time 02h 54m 22s, episodes 2572, frames 8.3M, run epr 11.87, run loss -29.08
time 02h 55m 36s, episodes 2591, frames 8.3M, run epr 11.63, run loss -26.84
time 02h 56m 59s, episodes 2610, frames 8.4M, run epr 11.69, run loss -26.57
time 02h 58m 15s, episodes 2626, frames 8.4M, run epr 11.74, run loss -28.08
time 02h 59m 47s, episodes 2645, frames 8.5M, run epr 11.93, run loss -26.08
time 03h 01m 10s, episodes 2665, frames 8.6M, run epr 11.80, run loss -26.09
time 03h 02m 32s, episodes 2684, frames 8.6M, run epr 11.98, run loss -25.85
time 03h 04m 10s, episodes 2710, frames 8.7M, run epr 12.25, run loss -25.29
time 03h 05m 28s, episodes 2726, frames 8.8M, run epr 12.80, run loss -23.23
time 03h 06m 38s, episodes 2740, frames 8.8M, run epr 12.70, run loss -27.99
time 03h 08m 19s, episodes 2765, frames 8.9M, run epr 12.63, run loss -28.25
time 03h 09m 51s, episodes 2788, frames 9.0M, run epr 12.65, run loss -28.19
time 03h 11m 25s, episodes 2810, frames 9.1M, run epr 12.79, run loss -28.00
time 03h 12m 35s, episodes 2828, frames 9.1M, run epr 13.17, run loss -25.74
time 03h 14m 08s, episodes 2852, frames 9.2M, run epr 13.33, run loss -26.90
time 03h 15m 22s, episodes 2871, frames 9.3M, run epr 13.54, run loss -28.61
time 03h 16m 31s, episodes 2884, frames 9.3M, run epr 13.74, run loss -26.93
time 03h 18m 15s, episodes 2911, frames 9.4M, run epr 13.66, run loss -28.66
time 03h 19m 48s, episodes 2930, frames 9.5M, run epr 13.50, run loss -28.36
time 03h 21m 17s, episodes 2950, frames 9.5M, run epr 13.67, run loss -27.70
time 03h 23m 22s, episodes 2980, frames 9.6M, run epr 13.72, run loss -28.31
time 03h 24m 44s, episodes 2997, frames 9.7M, run epr 13.83, run loss -28.79
time 03h 26m 00s, episodes 3014, frames 9.7M, run epr 13.85, run loss -28.92
time 03h 27m 14s, episodes 3031, frames 9.8M, run epr 13.79, run loss -30.18
time 03h 28m 16s, episodes 3047, frames 9.9M, run epr 13.84, run loss -29.28
time 03h 29m 57s, episodes 3072, frames 9.9M, run epr 14.04, run loss -28.27
time 03h 31m 23s, episodes 3092, frames 10.0M, run epr 14.16, run loss -28.62

	10M frames: saved model

time 03h 32m 50s, episodes 3113, frames 10.1M, run epr 14.20, run loss -28.07
time 03h 34m 42s, episodes 3139, frames 10.2M, run epr 14.14, run loss -28.74
time 03h 35m 51s, episodes 3160, frames 10.2M, run epr 14.08, run loss -30.41
time 03h 37m 06s, episodes 3185, frames 10.3M, run epr 14.22, run loss -29.30
time 03h 39m 14s, episodes 3226, frames 10.4M, run epr 14.40, run loss -28.96
time 03h 40m 26s, episodes 3250, frames 10.5M, run epr 14.46, run loss -27.83
time 03h 42m 11s, episodes 3287, frames 10.6M, run epr 14.52, run loss -28.89
time 03h 43m 23s, episodes 3311, frames 10.7M, run epr 14.48, run loss -29.91
time 03h 44m 58s, episodes 3346, frames 10.8M, run epr 14.62, run loss -29.71
time 03h 46m 08s, episodes 3373, frames 10.9M, run epr 14.83, run loss -27.96
time 03h 48m 09s, episodes 3416, frames 11.0M, run epr 14.42, run loss -29.25
time 03h 49m 41s, episodes 3447, frames 11.2M, run epr 14.67, run loss -28.76
time 03h 50m 42s, episodes 3472, frames 11.2M, run epr 14.56, run loss -28.62
time 03h 52m 32s, episodes 3504, frames 11.3M, run epr 14.40, run loss -29.81
time 03h 54m 25s, episodes 3545, frames 11.5M, run epr 14.28, run loss -28.23
time 03h 55m 39s, episodes 3574, frames 11.6M, run epr 14.35, run loss -29.35
time 03h 57m 25s, episodes 3607, frames 11.7M, run epr 14.43, run loss -29.28
time 03h 59m 12s, episodes 3646, frames 11.8M, run epr 14.38, run loss -29.21
time 04h 00m 58s, episodes 3685, frames 11.9M, run epr 14.68, run loss -29.45

	12M frames: saved model

time 04h 02m 11s, episodes 3712, frames 12.0M, run epr 14.58, run loss -31.55
time 04h 04m 01s, episodes 3751, frames 12.1M, run epr 14.74, run loss -28.59
time 04h 05m 47s, episodes 3788, frames 12.3M, run epr 14.63, run loss -30.35
time 04h 06m 52s, episodes 3812, frames 12.3M, run epr 14.88, run loss -28.29
time 04h 08m 38s, episodes 3848, frames 12.4M, run epr 14.65, run loss -28.82
time 04h 09m 42s, episodes 3869, frames 12.5M, run epr 14.70, run loss -30.23
time 04h 10m 45s, episodes 3894, frames 12.6M, run epr 15.01, run loss -30.76
time 04h 11m 54s, episodes 3917, frames 12.7M, run epr 14.95, run loss -31.64
time 04h 13m 39s, episodes 3956, frames 12.8M, run epr 15.34, run loss -30.30
time 04h 15m 33s, episodes 3996, frames 12.9M, run epr 15.42, run loss -31.28
time 04h 16m 34s, episodes 4017, frames 13.0M, run epr 15.49, run loss -32.06
time 04h 18m 04s, episodes 4049, frames 13.1M, run epr 15.62, run loss -32.35
time 04h 20m 02s, episodes 4091, frames 13.2M, run epr 16.01, run loss -31.12
time 04h 22m 05s, episodes 4134, frames 13.3M, run epr 16.39, run loss -31.08
time 04h 23m 44s, episodes 4166, frames 13.4M, run epr 16.42, run loss -32.14
time 04h 25m 30s, episodes 4205, frames 13.5M, run epr 16.48, run loss -33.53
time 04h 27m 18s, episodes 4244, frames 13.6M, run epr 16.65, run loss -32.11
time 04h 28m 20s, episodes 4267, frames 13.7M, run epr 16.88, run loss -32.28
time 04h 29m 26s, episodes 4292, frames 13.8M, run epr 16.90, run loss -34.61
time 04h 30m 30s, episodes 4312, frames 13.8M, run epr 16.73, run loss -33.11
time 04h 32m 10s, episodes 4346, frames 13.9M, run epr 16.88, run loss -31.49

	14M frames: saved model

time 04h 33m 17s, episodes 4369, frames 14.0M, run epr 16.96, run loss -31.41
time 04h 35m 14s, episodes 4410, frames 14.1M, run epr 17.16, run loss -29.99
time 04h 36m 41s, episodes 4445, frames 14.2M, run epr 17.35, run loss -31.86
time 04h 37m 52s, episodes 4468, frames 14.3M, run epr 17.37, run loss -31.98
time 04h 39m 05s, episodes 4492, frames 14.3M, run epr 17.44, run loss -29.73
time 04h 40m 55s, episodes 4530, frames 14.5M, run epr 17.17, run loss -31.43
time 04h 41m 58s, episodes 4552, frames 14.5M, run epr 17.09, run loss -32.76
time 04h 43m 48s, episodes 4590, frames 14.6M, run epr 16.99, run loss -33.97
time 04h 45m 41s, episodes 4629, frames 14.7M, run epr 17.21, run loss -31.82
time 04h 46m 50s, episodes 4651, frames 14.8M, run epr 17.13, run loss -33.42
time 04h 48m 00s, episodes 4675, frames 14.9M, run epr 17.04, run loss -33.83
time 04h 50m 10s, episodes 4719, frames 15.0M, run epr 17.10, run loss -33.11
time 04h 51m 13s, episodes 4741, frames 15.1M, run epr 17.20, run loss -31.31
time 04h 53m 07s, episodes 4777, frames 15.2M, run epr 17.42, run loss -31.68
time 04h 54m 17s, episodes 4805, frames 15.2M, run epr 17.56, run loss -31.65
time 04h 56m 10s, episodes 4842, frames 15.3M, run epr 17.46, run loss -30.74
time 04h 57m 57s, episodes 4878, frames 15.4M, run epr 17.48, run loss -32.50
time 04h 59m 45s, episodes 4918, frames 15.5M, run epr 17.77, run loss -30.38
time 05h 01m 36s, episodes 4955, frames 15.7M, run epr 17.71, run loss -32.63
time 05h 03m 34s, episodes 4997, frames 15.8M, run epr 17.59, run loss -32.09
time 05h 04m 38s, episodes 5017, frames 15.8M, run epr 17.34, run loss -32.79
time 05h 06m 24s, episodes 5052, frames 15.9M, run epr 17.34, run loss -30.96
time 05h 07m 28s, episodes 5077, frames 16.0M, run epr 17.36, run loss -31.82

	16M frames: saved model

time 05h 09m 21s, episodes 5115, frames 16.1M, run epr 17.34, run loss -32.24
time 05h 10m 22s, episodes 5137, frames 16.2M, run epr 17.44, run loss -32.46
time 05h 12m 07s, episodes 5171, frames 16.3M, run epr 17.48, run loss -32.31
time 05h 13m 55s, episodes 5212, frames 16.4M, run epr 17.61, run loss -31.00
time 05h 15m 35s, episodes 5248, frames 16.5M, run epr 17.79, run loss -30.22
time 05h 17m 04s, episodes 5283, frames 16.5M, run epr 18.01, run loss -31.71
time 05h 18m 44s, episodes 5317, frames 16.6M, run epr 17.81, run loss -31.53
time 05h 19m 45s, episodes 5340, frames 16.7M, run epr 17.64, run loss -34.02
time 05h 21m 01s, episodes 5367, frames 16.8M, run epr 17.64, run loss -34.41
time 05h 22m 39s, episodes 5406, frames 16.9M, run epr 18.03, run loss -31.03
time 05h 24m 17s, episodes 5444, frames 17.0M, run epr 18.10, run loss -31.85
time 05h 25m 53s, episodes 5475, frames 17.1M, run epr 18.05, run loss -32.20
time 05h 27m 43s, episodes 5517, frames 17.2M, run epr 17.84, run loss -32.30
time 05h 29m 09s, episodes 5547, frames 17.3M, run epr 17.79, run loss -33.03
time 05h 30m 48s, episodes 5583, frames 17.4M, run epr 17.65, run loss -32.91
time 05h 32m 22s, episodes 5619, frames 17.5M, run epr 17.66, run loss -32.59
time 05h 34m 04s, episodes 5655, frames 17.6M, run epr 17.50, run loss -33.46
time 05h 35m 05s, episodes 5679, frames 17.6M, run epr 17.63, run loss -31.42
time 05h 36m 53s, episodes 5720, frames 17.7M, run epr 17.56, run loss -30.79
time 05h 38m 32s, episodes 5753, frames 17.8M, run epr 17.53, run loss -32.34
time 05h 40m 13s, episodes 5790, frames 17.9M, run epr 17.55, run loss -32.77

	18M frames: saved model

time 05h 42m 01s, episodes 5830, frames 18.1M, run epr 17.78, run loss -31.93
time 05h 43m 44s, episodes 5868, frames 18.2M, run epr 17.85, run loss -32.20
time 05h 45m 12s, episodes 5900, frames 18.2M, run epr 18.06, run loss -31.13
time 05h 46m 52s, episodes 5938, frames 18.3M, run epr 17.95, run loss -31.35
time 05h 48m 43s, episodes 5978, frames 18.5M, run epr 17.81, run loss -33.76
time 05h 50m 17s, episodes 6012, frames 18.6M, run epr 17.63, run loss -33.89
time 05h 52m 00s, episodes 6056, frames 18.7M, run epr 17.64, run loss -33.48
