
time 00h 01m 00s, episodes 35, frames 0.1M, mean epr -20.80, run loss -108.75
time 00h 02m 00s, episodes 85, frames 0.1M, mean epr -20.58, run loss -71.72
time 00h 03m 00s, episodes 133, frames 0.2M, mean epr -20.44, run loss -45.78
time 00h 04m 00s, episodes 184, frames 0.2M, mean epr -20.35, run loss -29.03
time 00h 05m 00s, episodes 232, frames 0.3M, mean epr -20.36, run loss -22.84
time 00h 06m 00s, episodes 278, frames 0.4M, mean epr -20.30, run loss -17.30
time 00h 07m 00s, episodes 327, frames 0.4M, mean epr -20.15, run loss -12.04
time 00h 08m 00s, episodes 374, frames 0.5M, mean epr -20.11, run loss -11.86
time 00h 09m 00s, episodes 428, frames 0.6M, mean epr -19.96, run loss -9.18
time 00h 10m 01s, episodes 477, frames 0.6M, mean epr -19.93, run loss -6.33
time 00h 11m 01s, episodes 522, frames 0.7M, mean epr -19.51, run loss -6.21
time 00h 12m 01s, episodes 557, frames 0.8M, mean epr -18.83, run loss -4.32
time 00h 13m 01s, episodes 589, frames 0.9M, mean epr -18.35, run loss -4.49
time 00h 14m 01s, episodes 621, frames 0.9M, mean epr -17.94, run loss -6.11
time 00h 15m 01s, episodes 649, frames 1.0M, mean epr -17.21, run loss -6.21
time 00h 16m 01s, episodes 678, frames 1.1M, mean epr -16.44, run loss -10.42
time 00h 17m 01s, episodes 707, frames 1.2M, mean epr -15.59, run loss -9.66
time 00h 18m 01s, episodes 736, frames 1.2M, mean epr -15.05, run loss -6.62
time 00h 19m 01s, episodes 765, frames 1.3M, mean epr -14.49, run loss -8.60
time 00h 20m 01s, episodes 791, frames 1.4M, mean epr -14.11, run loss -7.96
time 00h 21m 01s, episodes 820, frames 1.5M, mean epr -13.76, run loss -9.95
time 00h 22m 01s, episodes 844, frames 1.5M, mean epr -13.37, run loss -8.23
time 00h 23m 01s, episodes 869, frames 1.6M, mean epr -13.10, run loss -10.71
time 00h 24m 01s, episodes 895, frames 1.7M, mean epr -12.37, run loss -9.03
time 00h 25m 02s, episodes 919, frames 1.8M, mean epr -11.95, run loss -10.68
time 00h 26m 02s, episodes 942, frames 1.8M, mean epr -11.58, run loss -12.73
time 00h 27m 02s, episodes 967, frames 1.9M, mean epr -11.10, run loss -13.55
time 00h 28m 02s, episodes 990, frames 2.0M, mean epr -10.57, run loss -13.25

	2M frames: saved model

time 00h 29m 02s, episodes 1012, frames 2.1M, mean epr -10.19, run loss -13.12
time 00h 30m 02s, episodes 1032, frames 2.1M, mean epr -9.78, run loss -14.92
time 00h 31m 02s, episodes 1052, frames 2.2M, mean epr -9.20, run loss -14.59
time 00h 32m 03s, episodes 1073, frames 2.3M, mean epr -8.56, run loss -14.58
time 00h 33m 03s, episodes 1095, frames 2.4M, mean epr -8.16, run loss -13.08
time 00h 34m 03s, episodes 1114, frames 2.4M, mean epr -7.89, run loss -16.95
time 00h 35m 03s, episodes 1131, frames 2.5M, mean epr -7.70, run loss -18.12
time 00h 36m 03s, episodes 1151, frames 2.6M, mean epr -7.44, run loss -16.86
