
time 00h 01m 09s, episodes 89, frames 0.1M, run epr 111.24, run loss 16.46
time 00h 02m 20s, episodes 204, frames 0.1M, run epr 148.43, run loss 19.32
time 00h 03m 21s, episodes 296, frames 0.2M, run epr 149.11, run loss 11.96
time 00h 04m 27s, episodes 402, frames 0.3M, run epr 133.14, run loss 16.09
time 00h 05m 28s, episodes 487, frames 0.3M, run epr 154.34, run loss 14.07
time 00h 06m 31s, episodes 580, frames 0.4M, run epr 169.87, run loss 13.70
time 00h 07m 36s, episodes 683, frames 0.5M, run epr 169.61, run loss 16.86
time 00h 09m 03s, episodes 808, frames 0.6M, run epr 197.76, run loss 26.95
time 00h 10m 16s, episodes 916, frames 0.6M, run epr 167.44, run loss 18.54
time 00h 11m 31s, episodes 1024, frames 0.7M, run epr 162.11, run loss 10.38
time 00h 12m 36s, episodes 1123, frames 0.8M, run epr 166.36, run loss 17.22
time 00h 13m 45s, episodes 1220, frames 0.9M, run epr 191.40, run loss 22.50
time 00h 14m 46s, episodes 1313, frames 0.9M, run epr 183.07, run loss 21.74
time 00h 15m 46s, episodes 1399, frames 1.0M, run epr 195.31, run loss 25.13
time 00h 17m 01s, episodes 1507, frames 1.1M, run epr 188.81, run loss 23.31
time 00h 18m 03s, episodes 1598, frames 1.1M, run epr 195.32, run loss 20.63
time 00h 19m 16s, episodes 1701, frames 1.2M, run epr 208.67, run loss 30.40
time 00h 20m 24s, episodes 1793, frames 1.3M, run epr 201.66, run loss 29.92
time 00h 21m 24s, episodes 1882, frames 1.3M, run epr 187.31, run loss 30.50
time 00h 22m 26s, episodes 1971, frames 1.4M, run epr 192.65, run loss 27.14
time 00h 23m 36s, episodes 2069, frames 1.5M, run epr 205.41, run loss 28.07
time 00h 24m 46s, episodes 2165, frames 1.5M, run epr 217.97, run loss 31.34
time 00h 25m 52s, episodes 2254, frames 1.6M, run epr 220.62, run loss 27.65
time 00h 27m 04s, episodes 2359, frames 1.7M, run epr 210.15, run loss 32.37
time 00h 28m 12s, episodes 2452, frames 1.8M, run epr 228.28, run loss 33.18
time 00h 29m 16s, episodes 2543, frames 1.8M, run epr 232.38, run loss 32.00
time 00h 30m 19s, episodes 2623, frames 1.9M, run epr 248.10, run loss 36.86
time 00h 31m 25s, episodes 2713, frames 2.0M, run epr 247.51, run loss 32.28

	2M frames: saved model

time 00h 32m 38s, episodes 2814, frames 2.0M, run epr 246.30, run loss 37.33
time 00h 33m 44s, episodes 2913, frames 2.1M, run epr 233.37, run loss 33.76
