
time 00h 01m 00s, episodes 97, frames 0.1M, mean epr 114.92, run loss 31.65
time 00h 02m 00s, episodes 210, frames 0.2M, mean epr 161.76, run loss 46.27
time 00h 03m 00s, episodes 313, frames 0.2M, mean epr 166.34, run loss 39.42
time 00h 04m 00s, episodes 421, frames 0.3M, mean epr 175.82, run loss 41.17
time 00h 05m 00s, episodes 529, frames 0.4M, mean epr 168.99, run loss 30.10
time 00h 06m 00s, episodes 639, frames 0.4M, mean epr 168.28, run loss 30.30
time 00h 07m 00s, episodes 739, frames 0.5M, mean epr 164.98, run loss 21.94
time 00h 08m 00s, episodes 853, frames 0.6M, mean epr 168.05, run loss 20.72
time 00h 09m 00s, episodes 955, frames 0.7M, mean epr 183.64, run loss 22.00
time 00h 10m 00s, episodes 1061, frames 0.7M, mean epr 184.03, run loss 28.76
time 00h 11m 00s, episodes 1165, frames 0.8M, mean epr 178.82, run loss 24.71
time 00h 12m 00s, episodes 1275, frames 0.9M, mean epr 165.75, run loss 29.84
time 00h 13m 00s, episodes 1376, frames 1.0M, mean epr 173.88, run loss 33.77
time 00h 14m 01s, episodes 1481, frames 1.0M, mean epr 191.22, run loss 33.71
time 00h 15m 01s, episodes 1587, frames 1.1M, mean epr 174.62, run loss 22.79
time 00h 16m 01s, episodes 1695, frames 1.2M, mean epr 183.50, run loss 22.97
time 00h 17m 01s, episodes 1795, frames 1.3M, mean epr 194.02, run loss 30.37
time 00h 18m 01s, episodes 1895, frames 1.3M, mean epr 187.82, run loss 28.35
time 00h 19m 01s, episodes 1994, frames 1.4M, mean epr 190.50, run loss 34.76
time 00h 20m 01s, episodes 2099, frames 1.5M, mean epr 197.60, run loss 36.30
time 00h 21m 01s, episodes 2206, frames 1.6M, mean epr 197.11, run loss 39.64
time 00h 22m 01s, episodes 2309, frames 1.6M, mean epr 194.85, run loss 33.84
time 00h 23m 01s, episodes 2411, frames 1.7M, mean epr 197.82, run loss 39.89
time 00h 24m 01s, episodes 2513, frames 1.8M, mean epr 216.34, run loss 50.79
time 00h 25m 01s, episodes 2619, frames 1.8M, mean epr 212.04, run loss 49.23
time 00h 26m 01s, episodes 2719, frames 1.9M, mean epr 209.64, run loss 45.29
time 00h 27m 01s, episodes 2825, frames 2.0M, mean epr 205.78, run loss 50.00

	2M frames: saved model

time 00h 28m 01s, episodes 2922, frames 2.1M, mean epr 207.69, run loss 48.03
time 00h 29m 01s, episodes 3027, frames 2.1M, mean epr 204.77, run loss 47.01
time 00h 30m 01s, episodes 3126, frames 2.2M, mean epr 217.84, run loss 52.37
time 00h 31m 02s, episodes 3222, frames 2.3M, mean epr 227.71, run loss 55.58
time 00h 32m 02s, episodes 3323, frames 2.4M, mean epr 227.05, run loss 54.19
time 00h 33m 02s, episodes 3422, frames 2.4M, mean epr 229.66, run loss 50.45
time 00h 34m 02s, episodes 3524, frames 2.5M, mean epr 227.17, run loss 54.70
time 00h 35m 02s, episodes 3617, frames 2.6M, mean epr 245.51, run loss 57.53
time 00h 36m 02s, episodes 3712, frames 2.7M, mean epr 266.17, run loss 60.41
time 00h 37m 02s, episodes 3807, frames 2.7M, mean epr 268.79, run loss 55.55
time 00h 38m 02s, episodes 3898, frames 2.8M, mean epr 275.53, run loss 58.45
time 00h 39m 02s, episodes 3992, frames 2.9M, mean epr 288.71, run loss 58.30
time 00h 40m 02s, episodes 4082, frames 3.0M, mean epr 322.08, run loss 63.70
time 00h 41m 02s, episodes 4170, frames 3.0M, mean epr 327.74, run loss 67.74
time 00h 42m 03s, episodes 4260, frames 3.1M, mean epr 304.62, run loss 63.61
time 00h 43m 03s, episodes 4351, frames 3.2M, mean epr 310.75, run loss 62.69
time 00h 44m 03s, episodes 4437, frames 3.2M, mean epr 332.59, run loss 66.62
time 00h 45m 03s, episodes 4524, frames 3.3M, mean epr 315.21, run loss 61.89
time 00h 46m 03s, episodes 4614, frames 3.4M, mean epr 331.22, run loss 60.94
time 00h 47m 03s, episodes 4699, frames 3.5M, mean epr 328.74, run loss 66.20
time 00h 48m 03s, episodes 4793, frames 3.5M, mean epr 320.50, run loss 61.89
time 00h 49m 03s, episodes 4888, frames 3.6M, mean epr 341.40, run loss 63.98
time 00h 50m 03s, episodes 4975, frames 3.7M, mean epr 356.66, run loss 67.34
time 00h 51m 03s, episodes 5066, frames 3.8M, mean epr 357.36, run loss 62.99
time 00h 52m 03s, episodes 5144, frames 3.8M, mean epr 363.49, run loss 68.23
time 00h 53m 03s, episodes 5228, frames 3.9M, mean epr 360.75, run loss 68.10
time 00h 54m 03s, episodes 5311, frames 4.0M, mean epr 359.20, run loss 66.59

	4M frames: saved model

time 00h 55m 03s, episodes 5399, frames 4.1M, mean epr 350.93, run loss 66.25
time 00h 56m 03s, episodes 5493, frames 4.1M, mean epr 347.17, run loss 67.64
time 00h 57m 04s, episodes 5579, frames 4.2M, mean epr 371.23, run loss 65.14
time 00h 58m 04s, episodes 5667, frames 4.3M, mean epr 349.29, run loss 61.54
time 00h 59m 04s, episodes 5756, frames 4.3M, mean epr 348.40, run loss 64.57
time 01h 00m 04s, episodes 5833, frames 4.4M, mean epr 345.99, run loss 60.69
time 01h 01m 04s, episodes 5924, frames 4.5M, mean epr 363.71, run loss 66.36
time 01h 02m 04s, episodes 6018, frames 4.6M, mean epr 341.00, run loss 61.22
time 01h 03m 04s, episodes 6102, frames 4.6M, mean epr 348.80, run loss 56.32
time 01h 04m 04s, episodes 6183, frames 4.7M, mean epr 350.23, run loss 61.42
time 01h 05m 04s, episodes 6274, frames 4.8M, mean epr 348.56, run loss 64.95
time 01h 06m 04s, episodes 6356, frames 4.9M, mean epr 361.30, run loss 66.75
time 01h 07m 04s, episodes 6436, frames 4.9M, mean epr 378.93, run loss 66.16
time 01h 08m 04s, episodes 6524, frames 5.0M, mean epr 377.77, run loss 66.62
time 01h 09m 04s, episodes 6609, frames 5.1M, mean epr 376.49, run loss 66.82
time 01h 10m 04s, episodes 6688, frames 5.2M, mean epr 375.10, run loss 64.59
time 01h 11m 04s, episodes 6770, frames 5.2M, mean epr 383.78, run loss 61.21
time 01h 12m 04s, episodes 6851, frames 5.3M, mean epr 394.69, run loss 61.73
